license	rows	seq	family	version	scope_raw	scope	terms	status	note
CC BY-NC-SA 3.0 (hardware) / MIT (firmware)	1	2	MIT		firmware	software	permissive	draft	
CC BY-NC-SA 4.0 (hardware)	1	1	CC-BY-NC-SA	4.0	hardware	hardware	non-commercial	draft	
CC BY-SA 3.0 (PCBs, panel) / proprietary (DSP MCU board)	1	1	CC-BY-SA	3.0	PCBs, panel	hardware	copyleft	draft	
CC BY-SA 3.0 (PCBs, panel) / proprietary (DSP MCU board)	1	2	not-open		DSP MCU board	hardware	not-open	draft	scope text: DSP MCU board
CC BY-SA 4.0 (BOM, schematic) / GPL v3 (firmware)	1	1	CC-BY-SA	4.0	BOM, schematic	hardware	copyleft	draft	
CC BY-SA 4.0 (BOM, schematic) / GPL v3 (firmware)	1	2	GPL	3	firmware	software	copyleft	draft	
CC BY-SA 4.0 (hardware) / MIT (firmware)	1	1	CC-BY-SA	4.0	hardware	hardware	copyleft	draft	
CC BY-SA 4.0 (hardware) / MIT (firmware)	1	2	MIT		firmware	software	permissive	draft	
CERN-OHL-P v2 (hardware) / CC BY-SA 4.0 (panel) / MIT (firmware)	1	1	CERN-OHL-P	2	hardware	hardware	permissive	draft	
CERN-OHL-P v2 (hardware) / CC BY-SA 4.0 (panel) / MIT (firmware)	1	2	CC-BY-SA	4.0	panel	panel	copyleft	draft	
CERN-OHL-P v2 (hardware) / CC BY-SA 4.0 (panel) / MIT (firmware)	1	3	MIT		firmware	software	permissive	draft	
CERN-OHL-S v2	1	1	CERN-OHL-S	2		unstated	copyleft	draft	
custom (open source, no commercial copies)	1	1	custom			unstated	custom	draft	qualifier: open source, no commercial copies
MIT (firmware)	1	1	MIT		firmware	software	permissive	draft	
none granted (all rights Thomas Henry, per README)	1	1	not-open			unstated	not-open	draft	qualifier: all rights Thomas Henry, per README
not open source (board files, firmware - per README)	1	1	not-open		board files, firmware - per README	hardware+software	not-open	draft	scope text: board files, firmware - per README
open source, no licence named (firmware) / closed source (hardware, per README)	1	1	none-named		firmware	software	none-named	draft	
open source, no licence named (firmware) / closed source (hardware, per README)	1	2	not-open		hardware, per README	hardware	not-open	draft	scope text: hardware, per README
open source, no licence named (hardware, OSHWA UK000005) / Creative Commons or MIT (software)	1	1	none-named		hardware, OSHWA UK000005	hardware	none-named	ok	"README: hardware ""released under the Open Source Hardware Association (UID UK000005)""; explicitly open source hardware, no licence named (d 2026-09-26 13:59). OSHWA record lists hardware licence ""Other""."
open source, no licence named (hardware, OSHWA UK000005) / Creative Commons or MIT (software)	1	2	unclear		software	software	unclear	draft	
