vendor	module_name	link	reason	checked
YuSynth	STANDARDS	http://yusynth.net/Modular/EN/STANDARDS/index.html	"Synthesizers.com (5U ""Dotcom"") standard: ""In the yusynth modular I am using the Synthesizers.com standard""; page has no eurorack mention (checked 2026-09-26)"	2026-09-26
YuSynth	NOISE	http://yusynth.net/Modular/EN/NOISE/index.html	"Synthesizers.com (5U ""Dotcom"") standard: ""In the yusynth modular I am using the Synthesizers.com standard""; page has no eurorack mention (checked 2026-09-26)"	2026-09-26
YuSynth	QUAD-LFO	http://yusynth.net/Modular/EN/QUAD-LFO/index.html	"Synthesizers.com (5U ""Dotcom"") standard: ""In the yusynth modular I am using the Synthesizers.com standard""; page has no eurorack mention (checked 2026-09-26)"	2026-09-26
YuSynth	DIVIDER	http://yusynth.net/Modular/EN/DIVIDER/index.html	"Synthesizers.com (5U ""Dotcom"") standard: ""In the yusynth modular I am using the Synthesizers.com standard""; page has no eurorack mention (checked 2026-09-26)"	2026-09-26
YuSynth	COMPARATORS	http://yusynth.net/Modular/EN/COMPARATORS/index.html	"Synthesizers.com (5U ""Dotcom"") standard: ""In the yusynth modular I am using the Synthesizers.com standard""; page has no eurorack mention (checked 2026-09-26)"	2026-09-26
YuSynth	LOGICAL	http://yusynth.net/Modular/EN/LOGICAL/index.html	"Synthesizers.com (5U ""Dotcom"") standard: ""In the yusynth modular I am using the Synthesizers.com standard""; page has no eurorack mention (checked 2026-09-26)"	2026-09-26
YuSynth	BANK	http://yusynth.net/Modular/EN/BANK/index.html	Synthesizers.com (5U) standard per the site; this page itself NOT checked for a eurorack option (agent budget) - check only if needed	2026-09-26
YuSynth	LFO	http://yusynth.net/Modular/EN/LFO/index.html	Synthesizers.com (5U) standard per the site; this page itself NOT checked for a eurorack option (agent budget) - check only if needed	2026-09-26
YuSynth	AUTOBEND	http://yusynth.net/Modular/EN/AUTOBEND/index.html	Synthesizers.com (5U) standard per the site; this page itself NOT checked for a eurorack option (agent budget) - check only if needed	2026-09-26
YuSynth	DUALSLEW	http://yusynth.net/Modular/EN/DUALSLEW/index.html	Synthesizers.com (5U) standard per the site; this page itself NOT checked for a eurorack option (agent budget) - check only if needed	2026-09-26
YuSynth	MINMAX	http://yusynth.net/Modular/EN/MINMAX/index.html	Synthesizers.com (5U) standard per the site; this page itself NOT checked for a eurorack option (agent budget) - check only if needed	2026-09-26
YuSynth	RINGMOD	http://yusynth.net/Modular/EN/RINGMOD/index.html	Synthesizers.com (5U) standard per the site; this page itself NOT checked for a eurorack option (agent budget) - check only if needed	2026-09-26
YuSynth	SAWANIM	http://yusynth.net/Modular/EN/SAWANIM/index.html	Synthesizers.com (5U) standard per the site; this page itself NOT checked for a eurorack option (agent budget) - check only if needed	2026-09-26
YuSynth	MIXER	http://yusynth.net/Modular/EN/MIXER/index.html	Synthesizers.com (5U) standard per the site; this page itself NOT checked for a eurorack option (agent budget) - check only if needed	2026-09-26
YuSynth	MIXOUT	http://yusynth.net/Modular/EN/MIXOUT/index.html	Synthesizers.com (5U) standard per the site; this page itself NOT checked for a eurorack option (agent budget) - check only if needed	2026-09-26
YuSynth	GATEDELAY	http://yusynth.net/Modular/EN/GATEDELAY/index.html	Synthesizers.com (5U) standard per the site; this page itself NOT checked for a eurorack option (agent budget) - check only if needed	2026-09-26
YuSynth	PULSEDELAY	http://yusynth.net/Modular/EN/PULSEDELAY/index.html	Synthesizers.com (5U) standard per the site; this page itself NOT checked for a eurorack option (agent budget) - check only if needed	2026-09-26
YuSynth	RANDOMGATE	http://yusynth.net/Modular/EN/RANDOMGATE/index.html	Synthesizers.com (5U) standard per the site; this page itself NOT checked for a eurorack option (agent budget) - check only if needed	2026-09-26
YuSynth	SEQROUTER	http://yusynth.net/Modular/EN/SEQROUTER/index.html	Synthesizers.com (5U) standard per the site; this page itself NOT checked for a eurorack option (agent budget) - check only if needed	2026-09-26
Ken Stone (CGS)	CGS01 Sub-Oscillator	https://www.elby-designs.com/contents/en-us/d92_CGS_Modules.html	"4U (Elby: ""4U Modular Synthesizer modules"")"	2026-09-26
Ken Stone (CGS)	CGS03 Psycho LFO	https://www.elby-designs.com/contents/en-us/d92_CGS_Modules.html	"4U (Elby: ""4U Modular Synthesizer modules"")"	2026-09-26
Ken Stone (CGS)	CGS04 DC Mixer	https://www.elby-designs.com/contents/en-us/d92_CGS_Modules.html	"4U (Elby: ""4U Modular Synthesizer modules"")"	2026-09-26
Ken Stone (CGS)	CGS06 Burst Generator	https://www.elby-designs.com/contents/en-us/d92_CGS_Modules.html	"4U (Elby: ""4U Modular Synthesizer modules"")"	2026-09-26
Ken Stone (CGS)	CGS09 VC Divider	https://www.elby-designs.com/contents/en-us/d92_CGS_Modules.html	"4U (Elby: ""4U Modular Synthesizer modules"")"	2026-09-26
Ken Stone (CGS)	CGS10 Pedal Board/Mini Keyboard	https://www.elby-designs.com/contents/en-us/d92_CGS_Modules.html	"4U (Elby: ""4U Modular Synthesizer modules"")"	2026-09-26
CTorpin	CTorpin modules	https://github.com/CTorpin	"Kosmo format (analogoutputblog: ""Kosmo format modules"")"	2026-09-26
Kosmodular Grid	Kosmodular Grid designs	https://www.kosmodulargrid.com/	Kosmo format repository	2026-09-26
General Guitar Gadgets	GGG schematics	http://www.generalguitargadgets.com/how-to-build-it/technical-help/schematics/	guitar pedals, not modules	2026-09-26
Music Thing Modular	all	https://musicthing.co.uk/	explicitly open source - belongs in the open-source table	2026-09-26
Winterbloom	all	https://github.com/wntrblm	explicitly open source - belongs in the open-source table	2026-09-26
Befaco	Oneiroi POD	https://shop.befaco.org/full-kits/1348-oneiroi-pod-diy-kit.html	case / desktop unit, not a module	2026-09-26
Befaco	Bela Pepper (components kit)	https://shop.befaco.org/diy-friends/1233-bela-pepper-components-kit.html	third-party parts kit	2026-09-26
Nonlinear Circuits	PARTS	https://www.nonlinearcircuits.com/modules/p/parts	component packs, not a module	2026-09-26
Barton Musical Circuits	7805 to LM317	https://www.bartonmusicalcircuits.com/7805/index.html	regulator item, not a module	2026-09-26
North Coast Synthesis	MSK 001 Sekai Universal Host	https://northcoastsynthesis.com/synth-diy-projects/	never released; no schematics or files offered (checked 2026-09-26)	2026-09-26
North Coast Synthesis	MSK 004 Octothorpe Octuple VCO	https://northcoastsynthesis.com/synth-diy-projects/	never released; no schematics or files offered (checked 2026-09-26)	2026-09-26
North Coast Synthesis	MSK 005 Snake Pit	https://northcoastsynthesis.com/synth-diy-projects/	never released; no schematics or files offered (checked 2026-09-26)	2026-09-26
fonitronik	MFOS Soundlab build	http://www.modular.fonik.de/Page2.html	a synth build, not a module	2026-09-26
