status	maker	name	type	licence_state	licence_note	schematic_url	schematic_checked	repo_url	instructions_url	store_url
NEW REPO, hardware - not in the star list; add?	Voidpulse	Betweener	Teensy based CV and MIDI interface	Proprietary	No open licence published, treat as all rights reserved			https://github.com/jkrame1/Betweener	https://github.com/jkrame1/Betweener/wiki	https://www.tindie.com/products/werlekyle/betweener-full-kit/
NEW REPO, hardware - not in the star list; add?	Winterbloom	Big Honking Button	Sample player (button / gate triggered)	Open source	Hardware CERN-OHL-P v2, panel CC BY-SA 4.0, firmware MIT	https://github.com/wntrblm/Big_Honking_Button/tree/main/hardware/board		https://github.com/wntrblm/Big_Honking_Button	https://honk.wntr.dev/	https://winterbloom.com/shop/big-honking-button/
NEW REPO, hardware - not in the star list; add?	Winterbloom	Hydrogen	Dual 1-to-4 precision buffered multiple (1U)	Open source	Hardware CERN-OHL-P v2, panel CC BY-SA 4.0, firmware MIT	https://github.com/wntrblm/Hydrogen/tree/main/hardware		https://github.com/wntrblm/Hydrogen	https://hydrogen.wntr.dev/	https://winterbloom.com/shop/hydrogen/
NEW REPO, hardware - not in the star list; add?	Winterbloom	Micronova	Miniature Eurorack power supply	Open source	Hardware CERN-OHL-P v2, panel CC BY-SA 4.0, firmware MIT	https://github.com/wntrblm/Micronova/tree/main/hardware		https://github.com/wntrblm/Micronova	https://micronova.wntr.dev/	https://winterbloom.com/shop/micronova/
NEW REPO, hardware - not in the star list; add?	aliqut	3xOsc	Triple VCO (Moritz Klein cores)	Open source	GPL-3.0 covers the firmware, no hardware licence	https://github.com/aliqut/3xosc/tree/main/KiCad/Main		https://github.com/aliqut/3xosc	https://github.com/aliqut/3xosc/blob/main/README.md	
NEW REPO, hardware - not in the star list; add?	jakplugg	µO_C (micro Ornament & Crime)	Multi-function	Open source	Original design by mxmxmx	https://github.com/jakplugg/uO_c/blob/master/Schematic%20-%20uO_c.pdf		https://github.com/jakplugg/uO_c	https://ornament-and-cri.me/build-it/	https://modularaddict.com/module-type/multiples/uoc-8hp-ornament-crime-mxmxmx
NEW REPO, hardware - not in the star list; add?	joeSeggiola	Nearness	Passive panning mixer	Proprietary	No open licence published, treat as all rights reserved	https://joeseggiola.s3.eu-west-1.amazonaws.com/eurorack-projects/nearness/nearness-schematic.pdf		https://github.com/sarnesjo/nearness		https://www.tindie.com/products/joeseggiola/nearness-minimal-panning-mixer-pcb-panel/
NEW REPO, hardware - not in the star list; add?	mxmxmx / Patrick Dowling	Ornament & Crime (o_C)	Multi-function (CV / quantizer / sequencer)	Open source	No open licence published, treat as all rights reserved	https://ornament-and-cri.me/schematic/		https://github.com/mxmxmx/O_C	https://ornament-and-cri.me/build-it/	
NEW REPO, hardware - not in the star list; add?	mxmxmx / Patrick Dowling	Temps Utile	Clock / trigger generator	Open source	No open licence published, treat as all rights reserved	https://github.com/mxmxmx/temps_utile-/tree/master/hard		https://github.com/mxmxmx/temps_utile-	https://github.com/mxmxmx/temps_utile-/wiki/build-it	
MISSED - known repo; folder has only gerber zips / schematic PDF, so module detection skipped it	Sluisbrinkie	Edison	Lo-fi record and playback module	Open source	CC BY-SA 4.0 on the design files			https://github.com/niektb/sluisbrinkie-eurorack-published	https://github.com/niektb/sluisbrinkie-eurorack-published/tree/main/Sluisbrinkie%20Edison	https://www.tindie.com/products/sluisbrinkie/sluisbrinkie-edison-diy-kit/
MISSED - known repo; folder has only gerber zips / schematic PDF, so module detection skipped it	Sluisbrinkie	Kepler	Digital voice and arpeggiator	Open source	CC BY-SA 4.0 on the design files			https://github.com/niektb/sluisbrinkie-eurorack-published	https://github.com/niektb/sluisbrinkie-eurorack-published/tree/main/Sluisbrinkie%20Kepler	https://www.tindie.com/products/sluisbrinkie/sluisbrinkie-kepler-diy-kit/
MISSED - known repo; folder has only gerber zips / schematic PDF, so module detection skipped it	diysynth	0HP stuff	Set of three 0HP passives (attenuator, mixer, multiple)	Open source	Hardware and schematics CC BY-SA 4.0			https://github.com/diysynth/EURORACK-MODULES	https://github.com/diysynth/EURORACK-MODULES/tree/main/0HP%20STUFF	
MISSED - known repo; folder has only gerber zips / schematic PDF, so module detection skipped it	diysynth	3340 VCO	Oscillator (AS3340)	Open source	Hardware and schematics CC BY-SA 4.0	https://github.com/diysynth/EURORACK-MODULES/blob/main/3340%20VCO%20(4HP)/3340_VCO_schematic.png		https://github.com/diysynth/EURORACK-MODULES	https://github.com/diysynth/EURORACK-MODULES/tree/main/3340%20VCO%20(4HP)	
MISSED - known repo; folder has only gerber zips / schematic PDF, so module detection skipped it	diysynth	ADSR	Envelope	Open source	Hardware and schematics CC BY-SA 4.0	https://github.com/diysynth/EURORACK-MODULES/blob/main/ADSR%20(4HP)/ADSR_schematic.png		https://github.com/diysynth/EURORACK-MODULES	https://github.com/diysynth/EURORACK-MODULES/tree/main/ADSR%20(4HP)	
MISSED - known repo; folder has only gerber zips / schematic PDF, so module detection skipped it	diysynth	Dual VCA	VCA	Open source	Hardware and schematics CC BY-SA 4.0	https://github.com/diysynth/EURORACK-MODULES/blob/main/DUAL%20VCA/Eurorack_VCA_schematic.png		https://github.com/diysynth/EURORACK-MODULES	https://github.com/diysynth/EURORACK-MODULES/tree/main/DUAL%20VCA	
NEW, open source - schematic on musicthing.co.uk; no GitHub repo found	Music Thing Modular	Voltages	Turing Machine looping CV expander (8 faders)	Open source	No licence published	https://www.musicthing.co.uk/collateral/Turing-Expander-Schematic-PDFs.pdf			https://www.thonk.co.uk/wp-content/uploads/2025/05/TuringMachine_Voltages_1.4.pdf	https://www.thonk.co.uk/shop/voltages-expander/
NEW REPO, check - assembly guides / documentation PDFs only; row only if a schematic is inside	Drachma mfg.	BD-606	TR-606 bass drum voice	Proprietary	No open licence published, treat as all rights reserved			https://github.com/Deadbugged/Documentation/tree/main/BD606	https://github.com/Deadbugged/Documentation/tree/main/BD606	https://www.tindie.com/products/drachma/bd-606-bass-drum-module/
NEW REPO, check - assembly guides / documentation PDFs only; row only if a schematic is inside	Drachma mfg.	HH-606	TR-606 hi-hat voice with choke	Proprietary	No open licence published, treat as all rights reserved			https://github.com/Deadbugged/Documentation/tree/main/HH606	https://github.com/Deadbugged/Documentation/tree/main/HH606	https://www.tindie.com/products/drachma/hh-606-hihat-module/
NEW REPO, check - assembly guides / documentation PDFs only; row only if a schematic is inside	Drachma mfg.	SD-606	TR-606 snare drum voice	Proprietary	No open licence published, treat as all rights reserved			https://github.com/Deadbugged/Documentation/tree/main/SD606	https://github.com/Deadbugged/Documentation/tree/main/SD606	https://www.tindie.com/products/drachma/sd-606-snare-drum-module/
NEW REPO, check - one DCO Schematic.pdf; check it is a eurorack module	luislutz	Arduino VDCO	Digital multimode oscillator	Proprietary	No open licence published, treat as all rights reserved	https://github.com/luislutz/Arduino-VDCO/blob/main/DCO%20Schematic.pdf		https://github.com/luislutz/Arduino-VDCO	https://github.com/luislutz/Arduino-VDCO/blob/main/README.md	
MISSING, vendor covered - check format (4U CGS numbering vs Elby euro)	Cat Girl Synth (CGS)	CGS29 Wave Multiplier	Wavefolder / wave multiplier	Proprietary	No open licence published, treat as all rights reserved	http://www.cgs.synth.net/modules/pic/schem_cgs29_v20_wave_multiplie.gif			http://www.elby-designs.com/webtek/cgs/cgs29/cgs29_wave_multiplier.html	https://modularaddict.com/cgs29-wave-multiplier-cat-girl-synth
MISSING, vendor covered - check format (4U CGS numbering vs Elby euro)	Cat Girl Synth (CGS)	CGS32 Infinite Melody	Semi-random stepped CV generator	Proprietary	No open licence published, treat as all rights reserved				http://www.elby-designs.com/webtek/cgs/cgs32/cgs32_infinite_melody.html	https://modularaddict.com/cgs32-infinite-melody-cat-girl-synth
MISSING, vendor covered - check format (4U CGS numbering vs Elby euro)	Cat Girl Synth (CGS)	CGS35 Synthacon VCF	Multimode voltage-controlled filter	Proprietary	No open licence published, treat as all rights reserved				http://www.elby-designs.com/webtek/cgs/cgs35/cgs35_syntha_vcf.html	https://modularaddict.com/cgs35-synthacon-vcf-cat-girl-synth
MISSING, vendor covered - not in the commercial table	AI Synthesis	AI006 Stomp Box Adapter	Guitar-pedal interface	Proprietary	No licence published	https://aisynthesis.com/wp-content/uploads/2018/12/stomp-adapter.pdf			https://aisynthesis.com/how-to-build-ai006-eurorack-send-return-module/	https://aisynthesis.com/product/ai006-eurorack-stomp-box-adapter/
MISSING, vendor covered - not in the commercial table	AI Synthesis	AI008 Matrix Mixer	4-in/3-out matrix mixer	Proprietary	No licence published	https://aisynthesis.com/wp-content/uploads/2019/08/matrix-mixer-v2.pdf			https://aisynthesis.com/how-to-build-the-ai008-diy-matrix-mixer/	https://aisynthesis.com/product/ai008-eurorack-matrix-mixer/
MISSING, vendor covered - not in the commercial table	AI Synthesis	AI012 Wave Animator	Waveform animator	Proprietary	No licence published	https://aisynthesis.com/wp-content/uploads/2023/07/AI012-DIY-Wave-Animator-Schematic.pdf			https://aisynthesis.com/diy-eurorack-wave-animator/	https://aisynthesis.com/product/ai012-eurorack-wave-animator/
MISSING, vendor covered - not in the commercial table	AI Synthesis	AI018 Stereo Matrix Mixer	Stereo matrix mixer	Proprietary	No licence published	https://aisynthesis.com/wp-content/uploads/2023/02/stereo-matrix-mixer-v1.pdf			https://aisynthesis.com/diy-stereo-matrix-mixer/	https://aisynthesis.com/product/ai018-eurorack-stereo-matrix-mixer/
MISSING, vendor covered - not in the commercial table	AI Synthesis	AI024 X Filter	OB-X-style VCF	Proprietary	No licence published	https://aisynthesis.com/wp-content/uploads/2023/12/AI012-X-VCF-Schematic.pdf			https://aisynthesis.com/diy-x-filter/	https://aisynthesis.com/product/ai024-eurorack-x-filter/
MISSING, vendor covered - not in the commercial table	Barton Musical Circuits	1Song (BMC020)	Generative voice	Proprietary	No licence published				https://www.bartonmusicalcircuits.com/1song/index.html	https://synthcube.com/barton-bmc020-1song/
MISSING, vendor covered - not in the commercial table	Barton Musical Circuits	2LFO (BMC017)	Dual LFO	Proprietary	No licence published				https://www.bartonmusicalcircuits.com/2LFO/index.html	https://synthcube.com/barton-bmc017-2lfo/
MISSING, vendor covered - not in the commercial table	Barton Musical Circuits	Midi-to-Gate (BMC024)	MIDI-to-gate	Proprietary	No licence published				https://www.bartonmusicalcircuits.com/M2G/index.html	https://synthcube.com/barton-bmc024-midi-to-gate/
MISSING, vendor covered - not in the commercial table	Barton Musical Circuits	User Writeable Quantizer (BMC009)	Programmable quantizer	Proprietary	No licence published				https://www.bartonmusicalcircuits.com/uwq/index.html	https://synthcube.com/barton-bmc009-user-writeable-quantizer/
MISSING, vendor covered - not in the commercial table	Befaco	Lunch Bus	Bus board	Proprietary	No hardware licence published	https://www.befaco.org/docs/Lunchbus/Lunchbus_V1_Schematic.pdf			https://www.befaco.org/docs/Lunchbus/Lunchbus_V1_Assembly_Manual.pdf	https://www.thonk.co.uk/shop/befaco-lunch-bus-kit/
MISSING, build guide only - in mysticcircuits/0HP_Modular Build_Instructions, no schematic/gerbers	Mystic Circuits	0HP Envelope	Inline multifunction envelope	Proprietary	No licence published				https://github.com/mysticcircuits/0HP_Modular/tree/master/Build_Instructions/0HP_Envelope	https://www.mysticcircuits.com/product/0hp-envelope-full-kit
MISSING, build guide only - in mysticcircuits/0HP_Modular Build_Instructions, no schematic/gerbers	Mystic Circuits	Blinkus	LED cross-mangler	Proprietary	No licence published				https://github.com/mysticcircuits/0HP_Modular/tree/master/Build_Instructions/0HP_Blinkus	https://www.mysticcircuits.com/product/blinkus-full-kit
MISSING, build guide only - in mysticcircuits/0HP_Modular Build_Instructions, no schematic/gerbers	Mystic Circuits	Butt0n	Inline manual gate/trigger	Proprietary	No licence published				https://github.com/mysticcircuits/0HP_Modular/tree/master/Build_Instructions/0HP_Butt0n	https://www.mysticcircuits.com/product/butt0n-full-kit
MISSING, vendor absent - sheet links a schematic	4ms	DIY Looping Delay	Looping delay	Proprietary	Firmware MIT, hardware CC BY-NC-SA (noncommercial)	https://4mscompany.com/media/LD/manual/LD-Kit-schematic.pdf			https://4mscompany.com/media/LD/manual/LD_build_guide_1.0a.pdf	https://4mscompany.com/ld.php
MISSING, vendor absent - sheet links a schematic	4ms	DIY Sampler	Stereo sampler	Proprietary	No license published	https://4mscompany.com/media/SAMPLER/manual/SAMPLER-Kit-schematic.pdf			https://4mscompany.com/media/SAMPLER/manual/SAMPLER_build_guide_1.0a.pdf	https://4mscompany.com/sampler.php
MISSING, vendor absent - sheet links a schematic	DivKid	Mutes Mk2	Manual/VC mutes	Proprietary	No open licence published, treat as all rights reserved	https://www.befaco.org/docs/Mutes/Mutes_mk2_THT_Schematic.pdf			https://www.befaco.org/docs/Mutes/Mutes_mk2_Assembly_Manual.pdf	https://www.thonk.co.uk/shop/divkid-mutes-mk2-kit/
MISSING, vendor absent - no schematic published	Ginko Synthese	Magma	Diode-bridge compressor	Proprietary	No licence published	https://www.ginkosynthese.com/_downloads/352489aad63e172e106c7230df9b57d5	no schematic in the linked documentation PDFs (9 PDFs rendered, 2026-09-26); the Magma file the sheet calls a schematic is a component placement drawing		https://www.ginkosynthese.com/_downloads/fded02ecd19739107230dc234fb68902	https://www.ginkosynthese.com/product/7328915/magma
MISSING, vendor absent - sheet links a schematic	LZX Industries	Castle 101 Quad Gate	Video-rate quad logic gate	Proprietary	No open licence published, treat as all rights reserved	https://www.lzxindustries.net/wp-content/uploads/2018/01/CASTLE_QUAD_GATE_REV-D.pdf				https://modularaddict.com/castle-101-quad-gate-pcb-panel-lzx
MISSING, vendor absent - sheet links a schematic	Moffenzeef Modular	Bad Idea #9 Power Starved Glitch Oscillator	Glitch oscillator	Proprietary	No open licence published, treat as all rights reserved	https://www.moffenzeefmodular.com/s/BADIDEA9SCHEMATIC.bmp			https://www.moffenzeefmodular.com/s/MOF-BAD-IDEA-QS.pdf	https://modularaddict.com/bad-idea-9-power-starved-glitch-oscillator-pcb-panel-moffenzeef-modular
MISSING, vendor absent - schematic published	Synthrotek	Atari Punk Console	555-based drone	Proprietary	No licence published	https://www.synthrotek.com/products/modular-circuits/modular-atari-punk-console/eurorack-atari-punk-console-schematic/	schematic page linked from the assembly instructions (2026-09-26)		https://www.synthrotek.com/kit-assembly-instructions/modular-circuit-assembly-instructions/rack-atari-punk-console-assembly-instructions/	https://www.synthrotek.com/products/modular-circuits/modular-atari-punk-console/
MISSING, vendor absent - schematic published	Synthrotek	DIRT Filter	Filter / ring-mod / distortion	Proprietary	No licence published	https://www.synthrotek.com/products/modular-circuits/dirt-filter/dirt-filter-schematic/	schematic page linked from the assembly instructions (2026-09-26)		https://www.synthrotek.com/kit-assembly-instructions/modular-circuit-assembly-instructions/dirt-filter-assembly-instructions/	https://www.synthrotek.com/products/modular-circuits/dirt-filter/
MISSING, vendor absent - schematic published	Synthrotek	ECHO	PT2399 VC delay	Proprietary	No licence published	https://www.synthrotek.com/products/modular-circuits/echo/echo-schematic/	schematic page linked from the assembly instructions (2026-09-26)		https://www.synthrotek.com/kit-assembly-instructions/modular-circuit-assembly-instructions/echo-assembly-instructions/	https://www.synthrotek.com/products/modular-circuits/echo/
MISSING, vendor absent - sheet links no schematic	4ms	Euro Atoner	Downward harmonic stepper / degrader	Proprietary	No license published				https://4mscompany.com/euroatoner.php	https://4mscompany.com/euroatoner.php
MISSING, vendor absent - no schematic published	4ms	Pingable Envelope Generator	Pingable envelope	Proprietary	MIT, including the hardware folder		build guide and kit parts PDFs have no schematic (2026-09-26); no GitHub repo found		https://www.4mspedals.com/peg/kit/build_guide_1.0.6.pdf	https://4mscompany.com/peg.php
MISSING, vendor absent - no schematic published	4ms	Quad Clock Distributor Expander	QCD expander	Proprietary	No license published		build guide and kit parts PDFs have no schematic (2026-09-26); 4ms/qcd-expander on GitHub is firmware only		https://www.4mspedals.com/QCD/kit/QCDEXP_build_guide_medres.pdf	https://4mscompany.com/qcdexp.php
MISSING, vendor absent - sheet links no schematic	4ms	RCD Breakout	RCD expander	Proprietary	Firmware MIT, hardware CC BY-NC-SA (noncommercial)				https://www.4mspedals.com/clocker/kit/scmrcd_build_guide.pdf	https://4mscompany.com/rcdbo.php
MISSING, vendor absent - sheet links no schematic	4ms	SCM Breakout	SCM expander	Proprietary	No license published				https://www.4mspedals.com/clocker/kit/scmrcd_build_guide.pdf	https://4mscompany.com/scmbo.php
