repo	module_dir	reason
vauxflores/Electronics	Eyetron	Eyetron: function not stated - no README; schematic text has no function labels; vauxflores.com page titles give names only (WebFetch unavailable unattended)
vauxflores/Electronics	XimeTron/XT-09_Gold Standard	XT-09 Gold Standard: function not stated - no README; schematic text has no function labels; vauxflores.com page titles give names only (WebFetch unavailable unattended)
RebelTechnology/RebelTechnology	Alchemist	Alchemist: function not stated - check schematic
RebelTechnology/RebelTechnology	ArmControl	ArmControl: function not stated - check schematic
RebelTechnology/RebelTechnology	BalancedIO	BalancedIO: 3 boards (collection guess) - check
RebelTechnology/RebelTechnology	BelaModular	BelaModular: what the module does (Bela I/O?) not stated - check
RebelTechnology/RebelTechnology	BitReactor	Rebel Technology BitReactor: function not stated in repo text - check schematic / product docs
RebelTechnology/RebelTechnology	EffectsBox	Rebel Technology EffectsBox: function not stated in repo text - check schematic / product docs
RebelTechnology/RebelTechnology	Expander	Rebel Technology Expander: function not stated in repo text - check schematic / product docs
RebelTechnology/RebelTechnology	FascinationMachine	Rebel Technology FascinationMachine: function not stated in repo text - check schematic / product docs
RebelTechnology/RebelTechnology	Genius	Rebel Technology Genius: function not stated in repo text - check schematic / product docs
RebelTechnology/RebelTechnology	Gonies	Rebel Technology Gonies: function not stated in repo text - check schematic / product docs
RebelTechnology/RebelTechnology	Igor	Rebel Technology Igor: function not stated in repo text - check schematic / product docs
RebelTechnology/RebelTechnology	Klasmata	Rebel Technology Klasmata: function not stated in repo text - check schematic / product docs
RebelTechnology/RebelTechnology	Magus	Rebel Technology Magus: function not stated in repo text - check schematic / product docs
RebelTechnology/RebelTechnology	Manifold	Rebel Technology Manifold: function not stated in repo text - check schematic / product docs
RebelTechnology/RebelTechnology	MersenneTwister	Rebel Technology prototype repo: board-by-board review needed (many not eurorack: OWL pedal, Noctua, adapters); no text per folder
RebelTechnology/RebelTechnology	Midio	Rebel Technology prototype repo: board-by-board review needed (many not eurorack: OWL pedal, Noctua, adapters); no text per folder
RebelTechnology/RebelTechnology	MiniMixer	Rebel Technology prototype repo: board-by-board review needed (many not eurorack: OWL pedal, Noctua, adapters); no text per folder
RebelTechnology/RebelTechnology	MiniPowerAdaptor	Rebel Technology prototype repo: board-by-board review needed (many not eurorack: OWL pedal, Noctua, adapters); no text per folder
RebelTechnology/RebelTechnology	Mix01	Rebel Technology prototype repo: board-by-board review needed (many not eurorack: OWL pedal, Noctua, adapters); no text per folder
RebelTechnology/RebelTechnology	Mix02	Rebel Technology prototype repo: board-by-board review needed (many not eurorack: OWL pedal, Noctua, adapters); no text per folder
RebelTechnology/RebelTechnology	Mix03	Rebel Technology prototype repo: board-by-board review needed (many not eurorack: OWL pedal, Noctua, adapters); no text per folder
RebelTechnology/RebelTechnology	Mix04	Rebel Technology prototype repo: board-by-board review needed (many not eurorack: OWL pedal, Noctua, adapters); no text per folder
RebelTechnology/RebelTechnology	MorphingVCA	Rebel Technology prototype repo: board-by-board review needed (many not eurorack: OWL pedal, Noctua, adapters); no text per folder
RebelTechnology/RebelTechnology	Mussol	Rebel Technology prototype repo: board-by-board review needed (many not eurorack: OWL pedal, Noctua, adapters); no text per folder
RebelTechnology/RebelTechnology	NightLight	Rebel Technology prototype repo: board-by-board review needed (many not eurorack: OWL pedal, Noctua, adapters); no text per folder
RebelTechnology/RebelTechnology	Noctua1	Rebel Technology prototype repo: board-by-board review needed (many not eurorack: OWL pedal, Noctua, adapters); no text per folder
RebelTechnology/RebelTechnology	Noctua2	Rebel Technology prototype repo: board-by-board review needed (many not eurorack: OWL pedal, Noctua, adapters); no text per folder
RebelTechnology/RebelTechnology	OWL	Rebel Technology prototype repo: board-by-board review needed (many not eurorack: OWL pedal, Noctua, adapters); no text per folder
RebelTechnology/RebelTechnology	OWL2	Rebel Technology prototype repo: board-by-board review needed (many not eurorack: OWL pedal, Noctua, adapters); no text per folder
RebelTechnology/RebelTechnology	OledAdapter	Rebel Technology prototype repo: board-by-board review needed (many not eurorack: OWL pedal, Noctua, adapters); no text per folder
RebelTechnology/RebelTechnology	OpenSound	Rebel Technology prototype repo: board-by-board review needed (many not eurorack: OWL pedal, Noctua, adapters); no text per folder
RebelTechnology/RebelTechnology	OwlModular	Rebel Technology prototype repo: board-by-board review needed (many not eurorack: OWL pedal, Noctua, adapters); no text per folder
RebelTechnology/RebelTechnology	OwlPedal	Rebel Technology prototype repo: board-by-board review needed (many not eurorack: OWL pedal, Noctua, adapters); no text per folder
RebelTechnology/RebelTechnology	OwlRack	Rebel Technology prototype repo: board-by-board review needed (many not eurorack: OWL pedal, Noctua, adapters); no text per folder
RebelTechnology/RebelTechnology	PatchBay	Rebel Technology prototype repo: board-by-board review needed (many not eurorack: OWL pedal, Noctua, adapters); no text per folder
RebelTechnology/RebelTechnology	Periscope	Rebel Technology prototype repo: board-by-board review needed (many not eurorack: OWL pedal, Noctua, adapters); no text per folder
RebelTechnology/RebelTechnology	Phoreo	Rebel Technology prototype repo: board-by-board review needed (many not eurorack: OWL pedal, Noctua, adapters); no text per folder
RebelTechnology/RebelTechnology	Porter	Rebel Technology prototype repo: board-by-board review needed (many not eurorack: OWL pedal, Noctua, adapters); no text per folder
RebelTechnology/RebelTechnology	PowerBoard	Rebel Technology prototype repo: board-by-board review needed (many not eurorack: OWL pedal, Noctua, adapters); no text per folder
RebelTechnology/RebelTechnology	Prism	Rebel Technology prototype repo: board-by-board review needed (many not eurorack: OWL pedal, Noctua, adapters); no text per folder
RebelTechnology/RebelTechnology	Processor	Rebel Technology prototype repo: board-by-board review needed (many not eurorack: OWL pedal, Noctua, adapters); no text per folder
RebelTechnology/RebelTechnology	QuadFM	Rebel Technology prototype repo: board-by-board review needed (many not eurorack: OWL pedal, Noctua, adapters); no text per folder
RebelTechnology/RebelTechnology	QuantumEntaglement	Rebel Technology prototype repo: board-by-board review needed (many not eurorack: OWL pedal, Noctua, adapters); no text per folder
RebelTechnology/RebelTechnology	Slices	Rebel Technology prototype repo: board-by-board review needed (many not eurorack: OWL pedal, Noctua, adapters); no text per folder
RebelTechnology/RebelTechnology	Stoicheia	Rebel Technology prototype repo: board-by-board review needed (many not eurorack: OWL pedal, Noctua, adapters); no text per folder
RebelTechnology/RebelTechnology	Tesseract	Rebel Technology prototype repo: board-by-board review needed (many not eurorack: OWL pedal, Noctua, adapters); no text per folder
RebelTechnology/RebelTechnology	Tonic	Rebel Technology prototype repo: board-by-board review needed (many not eurorack: OWL pedal, Noctua, adapters); no text per folder
RebelTechnology/RebelTechnology	Triggy	Rebel Technology prototype repo: board-by-board review needed (many not eurorack: OWL pedal, Noctua, adapters); no text per folder
RebelTechnology/RebelTechnology	VCAMixer	Rebel Technology prototype repo: board-by-board review needed (many not eurorack: OWL pedal, Noctua, adapters); no text per folder
RebelTechnology/RebelTechnology	VactrolMixer	Rebel Technology prototype repo: board-by-board review needed (many not eurorack: OWL pedal, Noctua, adapters); no text per folder
RebelTechnology/RebelTechnology	Volty	Rebel Technology prototype repo: board-by-board review needed (many not eurorack: OWL pedal, Noctua, adapters); no text per folder
RebelTechnology/RebelTechnology	Witch	Rebel Technology prototype repo: board-by-board review needed (many not eurorack: OWL pedal, Noctua, adapters); no text per folder
RebelTechnology/RebelTechnology	Wizard	Rebel Technology prototype repo: board-by-board review needed (many not eurorack: OWL pedal, Noctua, adapters); no text per folder
RebelTechnology/RebelTechnology	Xibeca	Rebel Technology prototype repo: board-by-board review needed (many not eurorack: OWL pedal, Noctua, adapters); no text per folder
ThisIsNotRocketScience/Eurorack-Modules	.	TiNRS development dump (sets, factory BOMs, keyboards, test boards) - dedicated pass: released modules (Tuesday, Wobbler2, Ducktape, ...) vs dev/non-eurorack
ThisIsNotRocketScience/Eurorack-Modules	Development	TiNRS development dump (sets, factory BOMs, keyboards, test boards) - dedicated pass: released modules (Tuesday, Wobbler2, Ducktape, ...) vs dev/non-eurorack
ThisIsNotRocketScience/Eurorack-Modules	Development/EuroForError	TiNRS development dump (sets, factory BOMs, keyboards, test boards) - dedicated pass: released modules (Tuesday, Wobbler2, Ducktape, ...) vs dev/non-eurorack
ThisIsNotRocketScience/Eurorack-Modules	Development/Eurorack FutureSets	TiNRS development dump (sets, factory BOMs, keyboards, test boards) - dedicated pass: released modules (Tuesday, Wobbler2, Ducktape, ...) vs dev/non-eurorack
ThisIsNotRocketScience/Eurorack-Modules	Development/Eurorack Set 1	TiNRS development dump (sets, factory BOMs, keyboards, test boards) - dedicated pass: released modules (Tuesday, Wobbler2, Ducktape, ...) vs dev/non-eurorack
ThisIsNotRocketScience/Eurorack-Modules	Development/Eurorack Set 10	TiNRS development dump (sets, factory BOMs, keyboards, test boards) - dedicated pass: released modules (Tuesday, Wobbler2, Ducktape, ...) vs dev/non-eurorack
ThisIsNotRocketScience/Eurorack-Modules	Development/Eurorack Set 11	TiNRS development dump (sets, factory BOMs, keyboards, test boards) - dedicated pass: released modules (Tuesday, Wobbler2, Ducktape, ...) vs dev/non-eurorack
ThisIsNotRocketScience/Eurorack-Modules	Development/Eurorack Set 12	TiNRS development dump (sets, factory BOMs, keyboards, test boards) - dedicated pass: released modules (Tuesday, Wobbler2, Ducktape, ...) vs dev/non-eurorack
ThisIsNotRocketScience/Eurorack-Modules	Development/Eurorack Set 12/Factory/MiniKeyb	TiNRS development dump (sets, factory BOMs, keyboards, test boards) - dedicated pass: released modules (Tuesday, Wobbler2, Ducktape, ...) vs dev/non-eurorack
ThisIsNotRocketScience/Eurorack-Modules	Development/Eurorack Set 12/Factory/SimpleKeyboard	TiNRS development dump (sets, factory BOMs, keyboards, test boards) - dedicated pass: released modules (Tuesday, Wobbler2, Ducktape, ...) vs dev/non-eurorack
ThisIsNotRocketScience/Eurorack-Modules	Development/Eurorack Set 12/Factory/SimpleKeyboardTeensy	TiNRS development dump (sets, factory BOMs, keyboards, test boards) - dedicated pass: released modules (Tuesday, Wobbler2, Ducktape, ...) vs dev/non-eurorack
ThisIsNotRocketScience/Eurorack-Modules	Development/Eurorack Set 12/Factory/Speaker	TiNRS development dump (sets, factory BOMs, keyboards, test boards) - dedicated pass: released modules (Tuesday, Wobbler2, Ducktape, ...) vs dev/non-eurorack
ThisIsNotRocketScience/Eurorack-Modules	Development/Eurorack Set 12/Factory/WestLaunch	TiNRS development dump (sets, factory BOMs, keyboards, test boards) - dedicated pass: released modules (Tuesday, Wobbler2, Ducktape, ...) vs dev/non-eurorack
ThisIsNotRocketScience/Eurorack-Modules	Development/Eurorack Set 13	TiNRS development dump (sets, factory BOMs, keyboards, test boards) - dedicated pass: released modules (Tuesday, Wobbler2, Ducktape, ...) vs dev/non-eurorack
ThisIsNotRocketScience/Eurorack-Modules	Development/Eurorack Set 13/Factory/ASuitable Number Of Microphones	TiNRS development dump (sets, factory BOMs, keyboards, test boards) - dedicated pass: released modules (Tuesday, Wobbler2, Ducktape, ...) vs dev/non-eurorack
ThisIsNotRocketScience/Eurorack-Modules	Development/Eurorack Set 14	TiNRS development dump (sets, factory BOMs, keyboards, test boards) - dedicated pass: released modules (Tuesday, Wobbler2, Ducktape, ...) vs dev/non-eurorack
ThisIsNotRocketScience/Eurorack-Modules	Development/Eurorack Set 2	TiNRS development dump (sets, factory BOMs, keyboards, test boards) - dedicated pass: released modules (Tuesday, Wobbler2, Ducktape, ...) vs dev/non-eurorack
ThisIsNotRocketScience/Eurorack-Modules	Development/Eurorack Set 2021	TiNRS development dump (sets, factory BOMs, keyboards, test boards) - dedicated pass: released modules (Tuesday, Wobbler2, Ducktape, ...) vs dev/non-eurorack
ThisIsNotRocketScience/Eurorack-Modules	Development/Eurorack Set 2021/Ducktape_kicad	TiNRS development dump (sets, factory BOMs, keyboards, test boards) - dedicated pass: released modules (Tuesday, Wobbler2, Ducktape, ...) vs dev/non-eurorack
ThisIsNotRocketScience/Eurorack-Modules	Development/Eurorack Set 2021/Factory/TiNRS-Ardabil	TiNRS development dump (sets, factory BOMs, keyboards, test boards) - dedicated pass: released modules (Tuesday, Wobbler2, Ducktape, ...) vs dev/non-eurorack
ThisIsNotRocketScience/Eurorack-Modules	Development/Eurorack Set 2021/GameNight/Gamenight	TiNRS development dump (sets, factory BOMs, keyboards, test boards) - dedicated pass: released modules (Tuesday, Wobbler2, Ducktape, ...) vs dev/non-eurorack
ThisIsNotRocketScience/Eurorack-Modules	Development/Eurorack Set 2021/MultiChannelUSB/Octonoisy	TiNRS development dump (sets, factory BOMs, keyboards, test boards) - dedicated pass: released modules (Tuesday, Wobbler2, Ducktape, ...) vs dev/non-eurorack
ThisIsNotRocketScience/Eurorack-Modules	Development/Eurorack Set 2021/Space/Space	TiNRS development dump (sets, factory BOMs, keyboards, test boards) - dedicated pass: released modules (Tuesday, Wobbler2, Ducktape, ...) vs dev/non-eurorack
ThisIsNotRocketScience/Eurorack-Modules	Development/Eurorack Set 2021/Tuesday1.1_kicad	TiNRS development dump (sets, factory BOMs, keyboards, test boards) - dedicated pass: released modules (Tuesday, Wobbler2, Ducktape, ...) vs dev/non-eurorack
ThisIsNotRocketScience/Eurorack-Modules	Development/Eurorack Set 2021/WhiteRabbit	TiNRS development dump (sets, factory BOMs, keyboards, test boards) - dedicated pass: released modules (Tuesday, Wobbler2, Ducktape, ...) vs dev/non-eurorack
ThisIsNotRocketScience/Eurorack-Modules	Development/Eurorack Set 2021/Wobbler2_kicad	TiNRS development dump (sets, factory BOMs, keyboards, test boards) - dedicated pass: released modules (Tuesday, Wobbler2, Ducktape, ...) vs dev/non-eurorack
ThisIsNotRocketScience/Eurorack-Modules	Development/Eurorack Set 3	TiNRS development dump (sets, factory BOMs, keyboards, test boards) - dedicated pass: released modules (Tuesday, Wobbler2, Ducktape, ...) vs dev/non-eurorack
ThisIsNotRocketScience/Eurorack-Modules	Development/Eurorack Set 4	TiNRS development dump (sets, factory BOMs, keyboards, test boards) - dedicated pass: released modules (Tuesday, Wobbler2, Ducktape, ...) vs dev/non-eurorack
ThisIsNotRocketScience/Eurorack-Modules	Development/Eurorack Set 5	TiNRS development dump (sets, factory BOMs, keyboards, test boards) - dedicated pass: released modules (Tuesday, Wobbler2, Ducktape, ...) vs dev/non-eurorack
ThisIsNotRocketScience/Eurorack-Modules	Development/Eurorack Set 5/FrontPanels	TiNRS development dump (sets, factory BOMs, keyboards, test boards) - dedicated pass: released modules (Tuesday, Wobbler2, Ducktape, ...) vs dev/non-eurorack
ThisIsNotRocketScience/Eurorack-Modules	Development/Eurorack Set 6	TiNRS development dump (sets, factory BOMs, keyboards, test boards) - dedicated pass: released modules (Tuesday, Wobbler2, Ducktape, ...) vs dev/non-eurorack
ThisIsNotRocketScience/Eurorack-Modules	Development/Eurorack Set 7(post Superbooth)	TiNRS development dump (sets, factory BOMs, keyboards, test boards) - dedicated pass: released modules (Tuesday, Wobbler2, Ducktape, ...) vs dev/non-eurorack
ThisIsNotRocketScience/Eurorack-Modules	Development/Eurorack Set 8 - Second Production Run	TiNRS development dump (sets, factory BOMs, keyboards, test boards) - dedicated pass: released modules (Tuesday, Wobbler2, Ducktape, ...) vs dev/non-eurorack
ThisIsNotRocketScience/Eurorack-Modules	Development/Eurorack Set 9	TiNRS development dump (sets, factory BOMs, keyboards, test boards) - dedicated pass: released modules (Tuesday, Wobbler2, Ducktape, ...) vs dev/non-eurorack
ThisIsNotRocketScience/Eurorack-Modules	Development/Factory/AncientFilter-euro	TiNRS development dump (sets, factory BOMs, keyboards, test boards) - dedicated pass: released modules (Tuesday, Wobbler2, Ducktape, ...) vs dev/non-eurorack
ThisIsNotRocketScience/Eurorack-Modules	Development/Factory/CNCDriver	TiNRS development dump (sets, factory BOMs, keyboards, test boards) - dedicated pass: released modules (Tuesday, Wobbler2, Ducktape, ...) vs dev/non-eurorack
ThisIsNotRocketScience/Eurorack-Modules	Development/Factory/SWDIsolator	TiNRS development dump (sets, factory BOMs, keyboards, test boards) - dedicated pass: released modules (Tuesday, Wobbler2, Ducktape, ...) vs dev/non-eurorack
ThisIsNotRocketScience/Eurorack-Modules	Development/Factory/USB_MiniPower	TiNRS development dump (sets, factory BOMs, keyboards, test boards) - dedicated pass: released modules (Tuesday, Wobbler2, Ducktape, ...) vs dev/non-eurorack
ThisIsNotRocketScience/Eurorack-Modules	Development/JacThing	TiNRS development dump (sets, factory BOMs, keyboards, test boards) - dedicated pass: released modules (Tuesday, Wobbler2, Ducktape, ...) vs dev/non-eurorack
ThisIsNotRocketScience/Eurorack-Modules	Development/PJB-Box	TiNRS development dump (sets, factory BOMs, keyboards, test boards) - dedicated pass: released modules (Tuesday, Wobbler2, Ducktape, ...) vs dev/non-eurorack
ThisIsNotRocketScience/Eurorack-Modules	Development/PJB-Box/Factory	TiNRS development dump (sets, factory BOMs, keyboards, test boards) - dedicated pass: released modules (Tuesday, Wobbler2, Ducktape, ...) vs dev/non-eurorack
ThisIsNotRocketScience/Eurorack-Modules	Development/PJB-Box/Factory/UtilityStrip1	TiNRS development dump (sets, factory BOMs, keyboards, test boards) - dedicated pass: released modules (Tuesday, Wobbler2, Ducktape, ...) vs dev/non-eurorack
ThisIsNotRocketScience/Eurorack-Modules	Development/StageProjecten	TiNRS development dump (sets, factory BOMs, keyboards, test boards) - dedicated pass: released modules (Tuesday, Wobbler2, Ducktape, ...) vs dev/non-eurorack
ThisIsNotRocketScience/Eurorack-Modules	Development/StageProjecten/ARboard	TiNRS development dump (sets, factory BOMs, keyboards, test boards) - dedicated pass: released modules (Tuesday, Wobbler2, Ducktape, ...) vs dev/non-eurorack
ThisIsNotRocketScience/Eurorack-Modules	Development/StageProjecten/ARboard/CAMOutputs	TiNRS development dump (sets, factory BOMs, keyboards, test boards) - dedicated pass: released modules (Tuesday, Wobbler2, Ducktape, ...) vs dev/non-eurorack
ThisIsNotRocketScience/Eurorack-Modules	Development/StageProjecten/Factory/TiNRS&Navenant-Overstuurd	TiNRS development dump (sets, factory BOMs, keyboards, test boards) - dedicated pass: released modules (Tuesday, Wobbler2, Ducktape, ...) vs dev/non-eurorack
ThisIsNotRocketScience/Eurorack-Modules	Development/StageProjecten/STM32test	TiNRS development dump (sets, factory BOMs, keyboards, test boards) - dedicated pass: released modules (Tuesday, Wobbler2, Ducktape, ...) vs dev/non-eurorack
ThisIsNotRocketScience/Eurorack-Modules	Development/StageProjecten/STM32test/CAMOutputs	TiNRS development dump (sets, factory BOMs, keyboards, test boards) - dedicated pass: released modules (Tuesday, Wobbler2, Ducktape, ...) vs dev/non-eurorack
ThisIsNotRocketScience/Eurorack-Modules	Development/StageProjecten/STM32test/Factory/stm32_03.2	TiNRS development dump (sets, factory BOMs, keyboards, test boards) - dedicated pass: released modules (Tuesday, Wobbler2, Ducktape, ...) vs dev/non-eurorack
ThisIsNotRocketScience/Eurorack-Modules	Development/StageProjecten/STM32test/stm32 oud	TiNRS development dump (sets, factory BOMs, keyboards, test boards) - dedicated pass: released modules (Tuesday, Wobbler2, Ducktape, ...) vs dev/non-eurorack
ThisIsNotRocketScience/Eurorack-Modules	Development/Tools	TiNRS development dump (sets, factory BOMs, keyboards, test boards) - dedicated pass: released modules (Tuesday, Wobbler2, Ducktape, ...) vs dev/non-eurorack
ThisIsNotRocketScience/Eurorack-Modules	Eurorack Set 9	TiNRS development dump (sets, factory BOMs, keyboards, test boards) - dedicated pass: released modules (Tuesday, Wobbler2, Ducktape, ...) vs dev/non-eurorack
ThisIsNotRocketScience/Eurorack-Modules	RobGould	TiNRS development dump (sets, factory BOMs, keyboards, test boards) - dedicated pass: released modules (Tuesday, Wobbler2, Ducktape, ...) vs dev/non-eurorack
ThisIsNotRocketScience/Eurorack-Modules	RobGould/Sample	TiNRS development dump (sets, factory BOMs, keyboards, test boards) - dedicated pass: released modules (Tuesday, Wobbler2, Ducktape, ...) vs dev/non-eurorack
diyelectromusic/sdemp_pcbs	AtariPunkConsole	synth circuit in an Arduino/Pico PCB collection - check whether it is eurorack format
diyelectromusic/sdemp_pcbs	Baby8Sequencer	synth circuit in an Arduino/Pico PCB collection - check whether it is eurorack format
diyelectromusic/sdemp_pcbs	SquareWaveOscillator	synth circuit in an Arduino/Pico PCB collection - check whether it is eurorack format
microresearch/allcolours	Offset_torework	microresearch allcolours: experimental repo without READMEs (prototypes, tests, FINAL_FINAL) - dedicated pass to find the released modules
microresearch/allcolours	SR_segments	microresearch allcolours: experimental repo without READMEs (prototypes, tests, FINAL_FINAL) - dedicated pass to find the released modules
microresearch/allcolours	SR_segments/segments	microresearch allcolours: experimental repo without READMEs (prototypes, tests, FINAL_FINAL) - dedicated pass to find the released modules
microresearch/allcolours	SR_segments/segments/segments_panel	microresearch allcolours: experimental repo without READMEs (prototypes, tests, FINAL_FINAL) - dedicated pass to find the released modules
microresearch/allcolours	SR_segments/segments_fixed_adc	microresearch allcolours: experimental repo without READMEs (prototypes, tests, FINAL_FINAL) - dedicated pass to find the released modules
microresearch/allcolours	TOAD	microresearch allcolours: experimental repo without READMEs (prototypes, tests, FINAL_FINAL) - dedicated pass to find the released modules
microresearch/allcolours	TOAD/FINAL_FINAL	microresearch allcolours: experimental repo without READMEs (prototypes, tests, FINAL_FINAL) - dedicated pass to find the released modules
microresearch/allcolours	TOAD/testsother	microresearch allcolours: experimental repo without READMEs (prototypes, tests, FINAL_FINAL) - dedicated pass to find the released modules
microresearch/allcolours	all_colours_kicad	microresearch allcolours: experimental repo without READMEs (prototypes, tests, FINAL_FINAL) - dedicated pass to find the released modules
microresearch/allcolours	all_colours_kicad_analogue	microresearch allcolours: experimental repo without READMEs (prototypes, tests, FINAL_FINAL) - dedicated pass to find the released modules
microresearch/allcolours	all_colours_kicad_analogue_breakup	microresearch allcolours: experimental repo without READMEs (prototypes, tests, FINAL_FINAL) - dedicated pass to find the released modules
microresearch/allcolours	comparator	microresearch allcolours: experimental repo without READMEs (prototypes, tests, FINAL_FINAL) - dedicated pass to find the released modules
microresearch/allcolours	comparator_v2	microresearch allcolours: experimental repo without READMEs (prototypes, tests, FINAL_FINAL) - dedicated pass to find the released modules
microresearch/allcolours	filter	microresearch allcolours: experimental repo without READMEs (prototypes, tests, FINAL_FINAL) - dedicated pass to find the released modules
microresearch/allcolours	own_touch	microresearch allcolours: experimental repo without READMEs (prototypes, tests, FINAL_FINAL) - dedicated pass to find the released modules
microresearch/allcolours	populus/POPULUS_kicad_old-panelnew	microresearch allcolours: experimental repo without READMEs (prototypes, tests, FINAL_FINAL) - dedicated pass to find the released modules
microresearch/allcolours	populus/POPULUS_kicad_old-panelnew/populus_panel	microresearch allcolours: experimental repo without READMEs (prototypes, tests, FINAL_FINAL) - dedicated pass to find the released modules
microresearch/allcolours	populus/touch_toggle_KICAD	microresearch allcolours: experimental repo without READMEs (prototypes, tests, FINAL_FINAL) - dedicated pass to find the released modules
microresearch/allcolours	pyro/pyro000_kicad	microresearch allcolours: experimental repo without READMEs (prototypes, tests, FINAL_FINAL) - dedicated pass to find the released modules
microresearch/allcolours	pyro000_PCB	microresearch allcolours: experimental repo without READMEs (prototypes, tests, FINAL_FINAL) - dedicated pass to find the released modules
microresearch/allcolours	touch/touch_kicad_2024	microresearch allcolours: experimental repo without READMEs (prototypes, tests, FINAL_FINAL) - dedicated pass to find the released modules
microresearch/allcolours	touch/touch_kicad_2024/touch_panel	microresearch allcolours: experimental repo without READMEs (prototypes, tests, FINAL_FINAL) - dedicated pass to find the released modules
microresearch/allcolours	touch/touch_kicad_2024/touch_panel_filter	microresearch allcolours: experimental repo without READMEs (prototypes, tests, FINAL_FINAL) - dedicated pass to find the released modules
microresearch/allcolours	touch/touch_kicad_late2023	microresearch allcolours: experimental repo without READMEs (prototypes, tests, FINAL_FINAL) - dedicated pass to find the released modules
microresearch/allcolours	touch/touch_kicad_late2023/jlcpcb	microresearch allcolours: experimental repo without READMEs (prototypes, tests, FINAL_FINAL) - dedicated pass to find the released modules
microresearch/allcolours	touch/touch_kicad_late2023/touch_panel	microresearch allcolours: experimental repo without READMEs (prototypes, tests, FINAL_FINAL) - dedicated pass to find the released modules
microresearch/allcolours	touch/touch_kicad_late2023/touch_panel_filter	microresearch allcolours: experimental repo without READMEs (prototypes, tests, FINAL_FINAL) - dedicated pass to find the released modules
microresearch/allcolours	touch/touch_kicad_new2024	microresearch allcolours: experimental repo without READMEs (prototypes, tests, FINAL_FINAL) - dedicated pass to find the released modules
microresearch/allcolours	touch/touch_kicad_new2024/touch_panel	microresearch allcolours: experimental repo without READMEs (prototypes, tests, FINAL_FINAL) - dedicated pass to find the released modules
microresearch/allcolours	touch/touch_kicad_new2024/touch_panel_filter	microresearch allcolours: experimental repo without READMEs (prototypes, tests, FINAL_FINAL) - dedicated pass to find the released modules
microresearch/allcolours	touch/touch_kicad_protection	microresearch allcolours: experimental repo without READMEs (prototypes, tests, FINAL_FINAL) - dedicated pass to find the released modules
microresearch/allcolours	touch/touch_kicad_protection/touch_panel	microresearch allcolours: experimental repo without READMEs (prototypes, tests, FINAL_FINAL) - dedicated pass to find the released modules
microresearch/allcolours	touch/touch_kicad_protection/touch_panel_filter	microresearch allcolours: experimental repo without READMEs (prototypes, tests, FINAL_FINAL) - dedicated pass to find the released modules
microresearch/allcolours	touch_toggle_final/touch_toggle_latest_ADG	microresearch allcolours: experimental repo without READMEs (prototypes, tests, FINAL_FINAL) - dedicated pass to find the released modules
